AoA,AoA_mod,Cl,Cd,Cm
-30,-27.833844160910747,-0.3862630057508708,0.2763890305180224,4.485180482432215
-29,-26.879876686634923,-0.3780546112172617,0.2630695172920247,4.171979541697665
-28,-25.931725175863303,-0.3688091299219663,0.2501623765443174,3.872247755518144
-27,-24.999202179803856,-0.356776814475955,0.23607814415908687,3.63800466226292
-26,-24.0078356794089,-0.3552373123554629,0.22759845093590894,3.4641696239615283
-25,-23.06945622165209,-0.3442493051985726,0.21567168842537568,3.2033765121333757
-24,-22.06226199974595,-0.3455321592422931,0.2085152522788792,3.1200508535287335
-23,-21.04504997220785,-0.348601361084543,0.20313032164521747,3.1456746776289517
-22,-19.81723042800661,-0.3892255213245388,0.21144792021061684,3.8975813256537615
-21,-17.98285001564932,-0.538009962499502,0.25349641750973667,6.828054574988436
-20,-16.970875635391764,-0.540145201352969,0.24281693907847496,6.9114157492956885
-19,-15.930051510282947,-0.5474248480834233,0.23191661769584704,7.000842267145488
-18,-14.90611750949082,-0.5516926938767792,0.21902579077757925,6.91564569746714
-17,-13.511782497231948,-0.6220094385722849,0.2044563313767749,6.358391750159426
-16,-11.694949108215713,-0.7676649423663869,0.17059136066815667,3.9216848432986273
-15,-10.65028419672151,-0.7756294676576984,0.13446200878949852,2.006208932640007
-14,-9.602226561407779,-0.7841989742142371,0.06796385624748252,-1.4885090111527923
-13,-8.72262914658468,-0.7627291133614933,0.05362112765201625,-1.5452462385613575
-12,-7.902892336710348,-0.7305850725738018,0.04613714650212463,-1.3864368138000878
-11,-7.136499234341942,-0.688928927242516,0.040831912266673605,-1.1001248249178253
-10,-6.41778992852592,-0.638769937263783,0.035879111846450665,-0.8329034741854427
-9,-5.707846550423028,-0.5870478309452335,0.03268249535084594,-0.5575978744039015
-8,-5.010287200027918,-0.5331174385563151,0.03005993038282556,-0.28033970983609924
-7,-4.320932770278381,-0.4777239670789413,0.027817051270266114,-0.016235377868454238
-6,-3.6317805257538627,-0.4222944424832623,0.025948907441582087,0.2457889949219665
-5,-2.949909156397637,-0.3655666120703141,0.023871305300853775,0.49688572252250424
-4,-2.2846843376043795,-0.3058704141282136,0.02247025821146316,0.660546723667017
-3,-1.6582497870528106,-0.2392572412692869,0.020824134792757916,0.4825085109961104
-2,-1.1173210273892322,-0.1573969088101594,0.019114652626772963,-0.0991979530375065
-1,-0.5480652910796171,-0.0805877656263766,0.01711034774537695,-0.4510683850912387
0,0.1063513022104698,-0.0189642743684623,0.01593077319639194,-0.1624448450217271
0,0.10596910900536076,-0.0188961227177274,0.01587363031372938,-0.16186106922696103
1,0.7989134158366012,0.0358572116620135,0.016072948656435763,0.3171190948972688
2,1.463523140436608,0.0956630915243237,0.016679941281365605,0.5262980624770721
3,2.0398635846762705,0.1712089088981419,0.01803312309225491,0.12862395326073003
4,2.5597329938083924,0.2568244873504947,0.01929546193387243,-0.4505374866920723
5,3.1637076795244337,0.327442642096494,0.019689202170002175,-0.5599700276691949
6,3.839605809423066,0.3852356042905102,0.020492309197310554,-0.3908892849404571
7,4.529267669742122,0.440574255586575,0.021781855345906438,-0.151370935979934
8,5.225026904325347,0.4948256397211711,0.022932830854230375,0.0975752409340577
9,5.908700760003314,0.5512320556855848,0.024272021240854997,0.353290203228798
10,6.613035300293613,0.6039543146769779,0.02592984853924662,0.5972774694767802
11,7.322967622974915,0.6556783923681754,0.028325074088866815,0.8581118989582514
12,8.033865197715862,0.7072303489427215,0.031903286885817866,1.1367348544944271
13,8.798593352743618,0.7491833831462718,0.036937974255374505,1.3640451862591416
14,9.572251717767767,0.7895440066409768,0.043634906278541,1.6054063490120096
15,10.463071555883708,0.8090127155568755,0.06391853984062476,1.3090696180726025
16,11.636947633842926,0.7780076072037584,0.13823798172621748,-2.8180194136937624
17,12.638059080230125,0.7778094171130442,0.1623505104321383,-3.9276469854005422
18,14.786838468195159,0.5729622074466412,0.20120213584926797,-6.605640396918935
19,15.839996870470229,0.5634831460267964,0.21426491209297266,-6.710098777224723
20,16.842870156134186,0.5629707895578326,0.22758772012801398,-6.791058362729717
21,17.82237320937434,0.5666257492432365,0.24067479970226846,-6.988099701787501
22,18.775004325060934,0.575072439598467,0.25441345954199496,-7.085304510063011
23,21.056620079765604,0.346538211037131,0.18494069593735776,-2.6894732690342447
24,22.05923044329883,0.3460727381259715,0.1906200255516068,-2.671523292284828
25,23.05304480998527,0.3471757434005929,0.19747037150031915,-2.664282997020189
26,24.016984207055756,0.3536059718381733,0.20722780144787079,-2.8699847076938183
27,24.96462594539652,0.3629423543640449,0.2178079897877207,-3.091629126837505
28,25.923051287755616,0.3703558340101771,0.2284821981838726,-3.3504292583315554
29,26.876930039245654,0.3785800493491492,0.23991182726642576,-3.626961078951392
30,27.81241383381638,0.3900844032737633,0.2536948239159968,-3.9173879710011237
