AoA,AoA_mod,Cl,Cd,Cm
-30,-27.845300172948956,-0.3842202009055562,0.27939458386692273,0.0498357854379413
-29,-26.87173639136169,-0.3795061664854463,0.2677797697256083,0.04746176298419631
-28,-25.926675774056086,-0.3697095254909754,0.25352676635286314,0.0441869629871659
-27,-24.943801689224863,-0.3666556789717393,0.24486816006363937,0.042147114479858715
-26,-23.996061574608586,-0.35733683863521,0.23204772201013601,0.03836152473529209
-25,-23.02974932781211,-0.3513297302939849,0.22221968585280036,0.037190024493575675
-24,-22.026335744031257,-0.3519384312506661,0.21481672126852044,0.036644880618785194
-23,-20.931065713324486,-0.3689267234846388,0.21487339446936674,0.03869051080182477
-22,-19.197485782560175,-0.4997366974958687,0.25526161800828884,0.06659026444373449
-21,-17.969258522220255,-0.5404335605665554,0.259497262172966,0.0763951755586866
-20,-16.98010865785623,-0.5384987939500785,0.24759800371854104,0.07623645735716188
-19,-16.013404480271397,-0.5325615736388951,0.23363342747440802,0.0754037396658498
-18,-15.007163474757158,-0.5336744527334346,0.221720766552985,0.07413771287892625
-17,-13.847106369058704,-0.5622153996141832,0.2110525401200318,0.07462173580729797
-16,-11.857599786349166,-0.7386615167173538,0.17981881727531507,0.05192184846394844
-15,-10.720776786640464,-0.7630594211384658,0.14837526122538952,0.035090920039372614
-14,-9.71112644078153,-0.7647802445117162,0.08985162295782868,0.004219967387367768
-13,-8.796341639693658,-0.749584902480694,0.06342084438874612,-0.004407553768343925
-12,-7.958644474694284,-0.720643503271121,0.05378568690606624,-0.00501758470826282
-11,-7.1881121918353905,-0.679725445324293,0.04732792825296573,-0.0036647442169485374
-10,-6.478228561894037,-0.6279926848764111,0.04170644792828842,-0.0018371398597785502
-9,-5.715977356971765,-0.5855979676805413,0.037757539112355576,0.0002277755701970089
-8,-5.005673138013869,-0.5339402055198483,0.03466567577761797,0.002305594771011043
-7,-4.323764214226784,-0.4772190717106629,0.031335256014502336,0.004231800428699242
-6,-3.6195979086665684,-0.4244668135606954,0.029251589611907887,0.0066321792347189355
-5,-2.947882055520916,-0.3659280791741452,0.027355362752880905,0.008622255228288146
-4,-2.2515692565649736,-0.3117754051298502,0.024980274663191283,0.010427053083038602
-3,-1.6009161510900902,-0.2494808189814508,0.02373474894840468,0.010079039665894268
-2,-1.0085571548852879,-0.1767913861383195,0.0217213768622997,0.0052427123258827965
-1,-0.44703124973451325,-0.0986038805285831,0.019226555255656978,-0.0010460309609994797
0,0.1757340257452395,-0.0313364125388119,0.017864273356992384,-0.0009232349806449721
0,0.1761218931042836,-0.0314055759892126,0.017903521071897383,-0.0009252726777397994
1,0.8485912345571865,0.0269987984158881,0.017117816348325588,0.0027065016599737007
2,1.5066420771246076,0.0879742402471733,0.017745277860791518,0.003490870510759977
3,2.0645203120013633,0.166812188479091,0.01889284134340905,-0.0009956399320945062
4,2.605034763173308,0.2487463992993219,0.019748000561514392,-0.007659584653445068
5,3.233208045311839,0.3150495262802677,0.020208382381123977,-0.008760575542461001
6,3.921656667971831,0.3706045188092317,0.020872800140503984,-0.007333129471807909
7,4.625033971476412,0.423497469655474,0.020782151373057535,-0.0054698805084525915
8,5.319412757229163,0.4779950116633504,0.021098989505202826,-0.003584207482282082
9,5.938027451394641,0.5460026000014062,0.020675119558170703,-0.0012673874597257532
10,6.685156789814332,0.5910938072200371,0.024295953735673326,0.0011957071862217783
11,7.449162620131535,0.6331756443974048,0.028006139479651623,0.002336734557811749
12,8.179010496108539,0.6813484349012393,0.031109072952852403,0.004476507709144108
13,8.939176005774932,0.7241150675909429,0.03630418158900762,0.006509923315766431
14,9.726663956065217,0.7620096371310853,0.042398040447084936,0.0073734271691935
15,10.643233530708025,0.7768867232058766,0.0644408058432904,0.0018795544862162117
16,11.721110142431822,0.7629999780422533,0.13199408832194637,-0.034255084233099996
17,12.757261400797105,0.7565535841744315,0.15923250790187266,-0.04712557729873787
18,14.99161735895407,0.5364465937352461,0.19425313661288582,-0.06823064491867098
19,16.00841687173248,0.5334509504007079,0.20783557297049787,-0.06895698674156486
20,16.897573173651327,0.5532162965575977,0.22377435409765792,-0.07296511939481513
21,17.74994031207618,0.5795417860863635,0.2419590584920466,-0.07865109188721112
22,18.660698125031306,0.5954552096663714,0.25754688657253477,-0.08119168958862363
23,20.54138562656807,0.4384134145507252,0.2159445171944361,-0.0486330087517928
24,22.074648962078147,0.3433233498776961,0.1878298724794156,-0.028321600736907947
25,23.085437366394945,0.3413995910218164,0.1929519578252907,-0.029011915636472874
26,24.04296994267907,0.3489722662813617,0.20217696585407352,-0.03030023479140887
27,24.995747579153257,0.357392829449065,0.2133127975800856,-0.0330974113064606
28,25.917754548395216,0.3713003341375953,0.22654673405634118,-0.03602898434736624
29,26.887537137547774,0.3766886204876899,0.2375259681887699,-0.03879399665675205
30,27.817685530313486,0.3891443687214776,0.25075051608510723,-0.04216442619619261
