AoA,AoA_mod,Cl,Cd,Cm
-30,-27.830474952777003,-0.3868637937630979,0.27532836191102944,4.504333296818434
-29,-26.855021608466206,-0.3824867010181778,0.2645381344955108,4.243310887899985
-28,-25.933079348027412,-0.3685676576322193,0.248890506333745,3.8938609433013545
-27,-24.984720967610734,-0.3593590647682436,0.23627469755629749,3.628611750761326
-26,-24.018297907568666,-0.3533717163429705,0.22522423529991287,3.3588679030415007
-25,-23.073797326631325,-0.3434752111895907,0.21404565354040933,3.1704139786697567
-24,-22.08196622467003,-0.3420185555542195,0.2060710563411067,3.1024744696509923
-23,-21.04633581114601,-0.3483720737894171,0.2016421132887795,3.1084597841976613
-22,-19.870399025444918,-0.3797446419309701,0.20660612322931365,3.642799179385784
-21,-17.968198428221847,-0.5406225936392525,0.25396029110129886,6.888203493866186
-20,-16.91396945302951,-0.5502925567040469,0.24607971728725042,7.107698488549473
-19,-16.00825252522835,-0.5334802562214269,0.22958492097018426,6.803865556889737
-18,-15.009875298912581,-0.533190887640638,0.21694336253293744,6.815594022031762
-17,-13.938466608208198,-0.545924290755257,0.20522927808830155,6.844079845365104
-16,-11.74571801945737,-0.7586119684754844,0.1717889831949988,4.032653257164456
-15,-10.705191367231745,-0.7658385706521179,0.1462830698952418,2.846881233204085
-14,-9.604993351620843,-0.7837056077238422,0.07775123781179316,-0.8936091780155878
-13,-8.631020784056204,-0.7790644669051433,0.05140274468310451,-1.738806434897642
-12,-7.830404645648239,-0.7435108800915856,0.04300024447169645,-1.5160428056967494
-11,-7.111074413473841,-0.6934626120088526,0.03722920887489222,-1.2503701283480497
-10,-6.356598386316632,-0.6496814463037919,0.03255355840176559,-0.9783442770526586
-9,-5.640342787187317,-0.59908491803583,0.0293364115444944,-0.6862286417312148
-8,-4.94214013245598,-0.5452692379229346,0.026615582705162042,-0.4295203750124264
-7,-4.228654449118875,-0.4941787858198223,0.024598554104487313,-0.1531956345535065
-6,-3.5439791642294516,-0.4379509419831768,0.02274350676443287,0.11658201488012138
-5,-2.8466663157240433,-0.383976594049084,0.02092069544229091,0.36959806446570864
-4,-2.187146791747871,-0.3232630434839752,0.019502006396900626,0.5791641347774436
-3,-1.5406274863180054,-0.260231329377491,0.018195486233010382,0.5489692979477557
-2,-0.9728838028192937,-0.183152561057301,0.016507210793296503,0.0419612643614479
-1,-0.42944818527173856,-0.1017392446640454,0.014720507603113626,-0.40268962388283347
0,0.21202437191344842,-0.0378076081645918,0.013354371173205691,-0.2798329321089834
0,0.21221323038722786,-0.0378412848929357,0.01336616024096894,-0.2800821903428099
1,0.8998615714787939,0.0178564116642838,0.01298600625254707,0.1880323767658919
2,1.5803335378827916,0.0748337797978475,0.013420929731829671,0.5473171784941995
3,2.1685286186656154,0.1482657106910093,0.014659835697218895,0.3753010885701868
4,2.7215503949325797,0.227969649386804,0.015769006963967137,-0.17473324970315815
5,3.3012962961583634,0.3029082149518292,0.016401987932869268,-0.507244886598047
6,3.9576782878653027,0.3641812417203969,0.01723939813166475,-0.416870795098303
7,4.6456124220978925,0.4198279764235879,0.01833448548996731,-0.19205878182190136
8,5.341054076681708,0.4741359905581703,0.019767164462103217,0.03759483762085951
9,6.007524835141076,0.5336100159345983,0.02084406566990827,0.3322209001888092
10,6.666255639644431,0.5944642088065842,0.02214649641033228,0.5893368591970966
11,7.411477193745481,0.639895606925586,0.024966766851552684,0.8350482529504732
12,8.129708492467145,0.6901398338266611,0.027663464903663712,1.1089715214147422
13,8.841754302067459,0.7414870402903961,0.03149390544683007,1.4109782811286657
14,9.635729261630514,0.7782248640162172,0.037717230263457656,1.6291928632208261
15,10.446945911213906,0.8118881965667958,0.04729473827459668,1.8006834566641468
16,11.63956727082805,0.7775404806759294,0.12353718154723556,-2.0953730813293094
17,12.655791982952561,0.7746473342274768,0.15505413144506308,-3.685958121810246
18,14.886370025554232,0.5552140113940683,0.19330942161542045,-6.4701896243440435
19,15.95255403596192,0.5434122590310118,0.2053660888420023,-6.434742332092806
20,16.90533293458601,0.5518325971355846,0.2192386713178428,-6.5835946834008165
21,17.736724821490572,0.5818983363511013,0.2388150393441225,-7.193494894257269
22,18.665748965717995,0.5945545575202956,0.2541278235412623,-7.36084476179272
23,20.183004621005963,0.5023189387583651,0.2350360703635811,-5.5985043685496025
24,22.054569239213865,0.346903911335113,0.18650453546417772,-2.5417856142447186
25,23.06578277295434,0.3449043445590189,0.19231015714464905,-2.5978321119925396
26,23.997905595417606,0.3570080178700986,0.20369194163708065,-2.796368341327641
27,24.959499230368298,0.3638565362159202,0.2135235121783714,-2.9871005011943432
28,25.907714024321965,0.3730907330266609,0.22560473044892562,-3.2351811556738186
29,26.864997216691282,0.3807078777462421,0.23587457037024606,-3.5240142515015775
30,27.807319871714615,0.3909927447130548,0.2488045226212804,-3.788611286378964
