AoA,AoA_mod,Cl,Cd,Cm
-20,-16.760359399957814,-0.5776838827306964,0.25989451247067336,7.466053568154892
-19,-15.846678020568898,-0.5622917815494972,0.24432323782986956,7.18542207535177
-18,-14.876856133141452,-0.5569105027606807,0.22967467177288076,6.979033006717697
-17,-13.766035700291056,-0.5766717003250275,0.21899615388429075,7.1008544859630485
-16,-11.609659679133616,-0.7828735209190169,0.18520098187731857,4.439537877745759
-15,-10.5427116371809,-0.7948115133049496,0.15517474485098523,3.0141366438241617
-14,-9.41044376348864,-0.8183971600690023,0.08099700148835806,-1.0775848760634354
-13,-8.471686266916862,-0.8074765637633187,0.05543199885048869,-1.7784780102211635
-12,-7.668527349154237,-0.7723763984343872,0.04739726255257029,-1.5929498181394348
-11,-6.891439136543748,-0.7326273760138339,0.04172622223252053,-1.3369721276377993
-10,-6.18699240126057,-0.6799251233278034,0.037347953598812336,-1.0222543585376767
-9,-5.460370861512823,-0.6311770213403778,0.03349047430849019,-0.7658333593419361
-8,-4.762384799865869,-0.5773227189389619,0.03061534727839553,-0.46414539335471394
-7,-4.081451545118856,-0.5204276064855646,0.028539411476118687,-0.19588626214645669
-6,-3.393406526919704,-0.4648006443090963,0.026710071259618776,0.09304297314247968
-5,-2.701329793620927,-0.4098926065814651,0.02502144451917742,0.3463085437574343
-4,-2.0432801126028175,-0.3489169576258722,0.023753794695944304,0.5851274524098421
-3,-1.4273149227684503,-0.2804369168962495,0.022317554608898872,0.5865383314362833
-2,-0.8901656654349421,-0.1979026338819906,0.020855203104580798,0.09407489288550701
-1,-0.36000925902611325,-0.1141214047486242,0.018977511179268724,-0.41353888915454157
0,0.26312906403495046,-0.046920457586877,0.017476273303493772,-0.32001889449738974
0,0.26312906403495046,-0.046920457586877,0.017476273303493772,-0.32001889449738974
1,0.9395005904122021,0.0107880898372303,0.01700570975774559,0.14482012118063212
2,1.5939795226033897,0.072400464992194,0.01724590028282734,0.5697668476810521
3,2.156344662939978,0.1504383204707835,0.018564004640695887,0.34912611432713275
4,2.670064006434454,0.2371505618667226,0.01969932864635468,-0.25243674096864216
5,3.269070942795678,0.3086545521389486,0.020111605596480023,-0.5778454947530468
6,3.876904801836145,0.3785845496152324,0.020465732826192663,-0.45751509443833605
7,4.574811481004766,0.4324530072838418,0.021514938220492556,-0.22643718472793675
8,5.228558551390116,0.4941958860414622,0.022281205991859843,0.05552900377240553
9,5.934528697934544,0.5466264881831754,0.02383531012832056,0.3058437269126508
10,6.6222321631684835,0.602314355153558,0.02496710969716446,0.5521622857387842
11,7.294910580431747,0.6606814477299543,0.026696916940212867,0.8426969697897915
12,7.997587835159976,0.7136992293661364,0.029635746139077386,1.1361112279587116
13,8.719038202612438,0.7633694407041395,0.033572827775202665,1.4083089469732164
14,9.485879936913165,0.804945587211921,0.03922963676225337,1.634421126132133
15,10.292797248110901,0.8393755660663414,0.049982945403549195,1.7965912599621938
16,11.467929488715582,0.8081464622137349,0.12432556353751824,-1.9652437338635085
17,12.512516899184153,0.8001957566940989,0.15878782525084456,-3.779918903171054
18,14.826975246218142,0.5658051265752891,0.20060532224154268,-6.695760330533533
19,15.865285580624239,0.5589737321520506,0.21427029475255763,-6.740036875552266
20,16.807011964302692,0.56936492460005,0.22852396568300762,-6.984437916027744
